HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
471350,Manassas,seton school,20110,VA
471460,Montross,washington & lee high school,22520,VA
472310,Bealeton,liberty high school,22712,VA
510255,Lingle,lingle fort laramie hs,82223,WY
540260,Aguadilla,liceo aguadillano,00605,PR
030050,Cottonwood,mingus union high school,86326,AZ
051795,Los Angeles,dorsey senior high school,90016,CA
051892,Mammoth Lakes,mammoth high school,93546,CA
052060,Morgan Hill,live oak high school,95037,CA
052225,Oakland,oakland high school,94610,CA
052419,Pasadena,waverly high school,91105,CA
052485,Placerville,el dorado high school,95667,CA
060780,Hugo,genoa hugo high school,80821,CO
070110,Colchester,bacon academy,06415,CT
070790,Enfield,enfield high school,06082,CT
070792,Tolland,tolland high school,06084,CT
100515,Fort Myers,fort myers high school,33901,FL
101275,Orange Park,saint johns country day school,32073,FL
101413,Plantation,south plantation high school,33317,FL
101842,Weston,cypress bay high school,33332,FL
110116,Athens,cedar shoals high school,30605,GA
120038,Honolulu,kaiser high school,96825,HI
130120,Coeur D Alene,coeur d alene sr high school,83814,ID
143815,Saint Joseph,saint joseph-ogden high school,61873-0890,IL
172925,Topeka,topeka high school,66612,KS
200045,Hermon,hermon high school,04401,ME
210533,Frederick,frederick high school,21701,MD
210550,Frederick,tuscarora high school,21703,MD
231405,Farmington,farmington high school,48336,MI
231970,Holland,holland high school,49423,MI
290100,Las Vegas,las vegas high school,89142,NV
300466,North Sutton,kearsarge regional high school,03260,NH
310612,Jersey City,dr ronald e mcnair academic hs,07302,NJ
311230,Edison,wardlaw-hartridge school,08820,NJ
320124,Albuquerque,cottonwood classical prep sch,87109,NM
330583,Brooklyn,brooklyn high sch of the arts,11217,NY
332605,Jamestown,jamestown high school,14701,NY
334607,Port Washington,vincent smith school,11050,NY
340119,Asheville,carolina day school,28803,NC
361910,Lewis Center,olentangy high school,43035,OH
364450,Rocky River,rocky river high school,44116,OH
373615,Tulsa,holland hall school,74137-2001,OK
373647,Tulsa,tulsa sch of arts & sciences,74135-7458,OK
380365,Florence,siuslaw high school,97439,OR
394890,Turbotville,warrior run high school,17772,PA
411527,North Charleston,fort dorchester high school,29420,SC
411595,Piedmont,woodmont high school,29673,SC
430275,Chattanooga,baylor school,37401,TN
431668,Nashville,franklin road academy,37220,TN
441500,Corpus Christi,flour bluff high school,78418,TX
471830,Richlands,richlands high school,24641,VA
480350,Ellensburg,ellensburg high school,98926,WA
480545,Kirkland,lake washington high school,98033,WA
030385,Sanders,valley high school,86512,AZ
040004,Centerton,bentonville west high school,72719-4004,AR
050862,Encinitas,grauer school,92024,CA
052678,Rohnert Park,rancho cotate high school,94928,CA
053234,Santa Ana,foothill high school,92705,CA
054214,Hemet,tahquitz high school,92545,CA
054764,Hemet,western center academy,92543,CA
060038,Aurora,cherry creek options school,80015,CO
061450,Wheat Ridge,wheat ridge sr high school,80033,CO
070750,Stamford,stamford high school,06902,CT
110062,Alpharetta,mount pisgah christian school,30022,GA
111846,Snellville,shiloh high school,30039,GA
112129,Milton,cambridge high school,30004,GA
120192,Lihue,island school,96766,HI
140666,Chicago,british school of chicago,60642,IL
141665,Dwight,dwight township high school,60420-1339,IL
150220,Bloomington,bloomington high school north,47404,IN
230755,Dansville,dansville high school,48819,MI
240830,Fergus Falls,hillcret lutheran academy,56537,MN
241775,Mound,mound westonka high school,55364,MN
241800,Nevis,nevis high school,56467,MN
250697,Corinth,corinth high school,38834,MS
300120,Contoocook,hopkinton high school,03229,NH
311029,Somerset,ctrl jersey coll prep chtr sch,08873,NJ
311463,Toms River,monsignor donovan high school,08753,NJ
320610,Santa Fe,pojoaque high school,87506,NM
330040,Albany,albany academy for girls,12208,NY
332171,Great Neck,great neck village school,11023,NY
334500,Philadelphia,indian river sr high school,13673,NY
340751,Clayton,cleveland high school,27520,NC
342685,Monroe,sun valley high school,28110,NC
344118,Wake Forest,heritage high school,27587,NC
344350,Wilmington,new hanover high school,28401,NC
361290,Cleveland,john hay senior high school,44106,OH
365338,Warsaw,river view high school,43844,OH
372185,Madill,madill high school,73446-3602,OK
380211,Corvallis,crescent valley high school,97330,OR
391341,Exton,downingtown hs east campus,19341,PA
391646,Harrisburg,central dauphin east senior hs,17109,PA
394715,Stroudsburg,stroudsburg high school,18360,PA
400239,Warwick,pilgrim high school,02888,RI
411842,Roebuck,paul m dorman high school,29376,SC
430370,Cleveland,bradley central high school,37311,TN
440218,Anthony,anthony high school,79821,TX
447468,Westlake,westlake academy,76262,TX
471117,The Plains,wakefield school,20198,VA
471840,Richmond,benedictine high school,23221,VA
480570,Lacey,north thurston high school,98506,WA
481005,Ridgefield,ridgefield high school,98642,WA
