HS_NAME,HS_CEEB,HS_NCES
veritas classical schools,110068,NA
athens academy,110113,A1501216
athens christian school,110114,NA
prince avenue christian school,110119,NA
horizons school,110181,NA
pace academy,110217,NA
yeshiva atlanta,110264,NA
atlanta jewish academy,110264,NA
provost academy georgia,110293,NA
advance academy of georgia the,110600,NA
woodward academy,110797,NA
gwinnett sch of math sci tech,111140,130255003553
our lady of mercy catholic hs,111269,NA
riverside military academy,111405,NA
hebron christian academy,111808,NA
providence christian academy,111832,A0501403
tnt academy,111841,NA
arabia mountain high school,111868,130174003915
noah webster center,111994,NA
richards christian academy,112004,NA
eagles landing christian acad,112046,130282002130
georgia military college hs,112100,485111
saint francis high school,112629,NA
saint andrews on the marsh,112681,00296867
savannah christian prep sch,112698,NA
community christian school,112842,NA
brookwood school,112970,NA
honolulu waldorf school,120023,NA
academy of the pacific,120037,NA
myron b thompson academy,120039,150003000274
makua lani christian school,120064,NA
sacred hearts academy hs,120095,NA
saint andrew's priory school,120100,00326667
saint louis school,120110,NA
kamehameha schools hi campus,120169,NA
west side christian academy,120171,NA
island school,120192,NA
saint anthony jr-sr hs,120235,00326601
northwest academy,130026,NA
river stone community school,130060,NA
idaho distance education acad,130064,NA
sage international school,130091,NA
elk mountain academy,130112,NA
innercept academy,130122,NA
community school,130307,NA
rocky mountian high school,130399,NA
saint dominic school,130507,NA
immaculate conception academy,130509,NA
epic academy,140111,170993006088
aurora christian schools,140176,NA
fusion academy - evanston,140376,NA
butler college prep,140637,170993006450
uic college prep,140658,NA
british school of chicago,140666,NA
chicago bulls college prep,140693,NA
chicago mathematics-science ac,140721,170993005092
ida crown jewish academy,140725,NA
de la salle inst west campus,140741,NA
ogden international sc chicago,140748,NA
de la salle institute,140765,00344926
johnson college prep,140827,NA
francis w parker school,140830,NA
holy trinity high school,140875,00339712
instituto health sci career ac,140884,NA
josephinum high school,140910,00343412
itw david speer academy,140991,NA
lycee francais de chicago,140996,A9701397
george westinghouse college pr,141001,NA
uno hector p garcia md charter,141004,NA
urban prep young men-englewood,141006,170993005884
muhammad un of islam,141048,NA
notre dame high school boys,141063,00341787
phoenix acad jrotc service cor,141078,170993004715
richard t crane med prep mag,141094,NA
drw trading college prep,141104,NA
robert lindblom math-sci acad,141122,NA
world language academy hs,141142,170993005788
saint francis de sales hs,141150,NA
saint patrick high school,141230,NA
greater lawndale hs soc jus,141349,NA
perspectives-iit math sci acad,141367,NA
collinsville christian academy,141467,171065001278
saint teresa high school,141565,NA
elgin academy,141760,NA
bishop mcnamara high school,142415,NA
woodlands academy,142510,NA
ombudsman educational services,142622,NA
benet academy,142635,NA
saint laurence high school,143237,NA
marquette high school,143335,00347439
guerin college prep hs,143653,NA
christian life center hs,143698,NA
lutheran high school,143709,NA
bible baptist christian acad,143739,NA
st martin de porres high sch,144319,NA
saint joseph high school,144348,NA
lyons township hs south campus,144370,172388002601
saint francis preparatory hs,144383,NA
loyola academy,144403,NA
harmony school,150209,NA
indiana university high school,150219,NA
greenwood christian academy,151391,180411000709
bishop chatard high school,151654,NA
irvington prep academy,151729,NA
lighthouse college prep acad,151753,NA
faith christian school,151908,NA
saint albert central high sch,160997,00458219
maharishi sch age enlightenmnt,161553,AA000905
don bosco high school,161748,NA
midwest academy,162273,NA
gehlen catholic high school,162470,NA
alpha omega academy,163779,NA
nw ia cmty coll-hs program,163992,NA
heelan high school,164050,A1301414
saint marys school,164165,NA
haysville alternative hs,171305,NA
lawrence alternative hs,171689,NA
sacred heart jr-sr high school,172675,NA
trinity academy,173182,NA
kapaun mount carmel hs,173190,00489531
wichita eschool,173205,NA
bethlehem high school,180120,NA
christian fellowship school,180198,NA
villa madonna academy,180585,A9501919
liberty christian school,181102,NA
university heights academy,181211,NA
louisville collegiate school,181570,NA
saint francis high school,181604,NA
craft acad morehead st un,181849,NA
christian life academy,190203,NA
dunham school,190244,NA
saint pauls school,190590,X0538365
saint scholastica academy,190595,NA
academy of the sacred heart,191070,A0701050
thomas jefferson senior high s,191122,220084001964
jefferson chamber foundation,191162,NA
episcopal school of acadiana,191419,NA
saint thomas more catholic hs,191438,01922793
lakeshore high school,191657,NA
brother martin high school,192015,NA
ecole classique,192023,NA
holy cross high school,192030,NA
isidore newman school,192045,NA
international hs new orleans,192141,220015602270
north atlantic regional hs,200037,NA
fryeburg academy,200390,NA
saint dominic regional hs,200555,A1501784
catherine mcauley high school,200825,NA
bard early college high school,210002,240009001735
seton keough high school,210034,NA
baltimore lutheran school,210036,NA
boys latin school of maryland,210040,NA
jemicy school-towson campus,210069,NA
friends school,210090,NA
landon school,210260,NA
french international school,210264,NA
saint pauls school for boys,210295,00579506
saint pauls school for girls,210296,00579506
maryvale preparatory school,210300,NA
bishop walsh middle hs,210435,00578513
garrison forest school,210580,NA
archbishop spalding hs,210583,00578728
archbishop spalding high sch,210583,00578728
brookewood school,210667,NA
rockbridge academy inc,210754,NA
manchester valley high school,210761,NA
park school of baltimore,210812,NA
saint james school,210915,NA
spencerville adventist academy,210922,NA
severn school,210945,240006000127
saint timothys school,210990,NA
sparhawk school,220014,NA
berkshire arts-tech charter,220023,250007901842
cushing academy,220050,NA
bishop feehan high school,220077,NA
new england academy,220129,NA
commonwealth school,220222,NA
maimonides school,220305,NA
newman preparatory school,220330,NA
roxbury latin school,220345,250279002729
william j ostiguy hs,220409,NA
cardinal spellman high school,220437,NA
academy at charlemont,220552,NA
concord academy,220640,NA
middlesex school,220650,NA
academy at swift river,220657,NA
tec connections academy,220668,250055602817
deerfield academy,220685,NA
saint bernards regl cath h s,220835,NA
great barrington waldorf hs,220901,NA
st john paul ii high school,221089,NA
lowell catholic high school,221235,NA
malden catholic high school,221290,250717001106
frederick l chamberlain school,221404,NA
newton country day school,221530,NA
cats academy boston,221541,A1390207
saint sebastians school,221545,NA
bishop stang high school,221643,NA
woodward school for girls,221810,NA
salem academy,221869,250008401847
springfield renaissance school,222029,NA
macduffie school,222045,NA
coyle-cassidy memorial high sc,222120,00601715
nazareth academy,222176,NA
dana hall school,222275,NA
community christian school,222329,NA
saint clement high school,222365,NA
wilbraham and monson academy,222400,00604261
holy name central catholic h s,222500,00602854
st peter-marian jr-sr ctl cath,222525,NA
forest hills eastern hs,230000,261461001662
greenhills school,230087,NA
nexus acad of royal oak,230320,NA
academy of the sacred heart,230353,NA
detroit catholic central hs,230860,NA
dr benjamin carson hs sci med,230913,260110308271
university detroit jesuit hs,231225,NA
grand rapids christian hs,231695,NA
west michigan acad env science,231701,260009200596
potter's house christian hs,231726,NA
university liggett school,231820,NA
interlochen arts academy,232086,NA
hackett catholic central hs,232174,NA
ladywood high school,232355,NA
bloomfield hills high school,232447,260609008480
western michigan christian hs,232715,NA
notre dame preparatory,233040,00637399
gabriel richard high school,233193,NA
michigan lutheran high school,233382,NA
utica academy international st,233507,NA
washtenaw international hs,233823,268099008147
mesabi east senior high school,240250,279145002326
southwest christian high sch,240266,NA
totino-grace high school,240888,NA
main street school perf arts,241157,NA
