HS_CEEB,HS_CITY,HS_NAME,HS_POSTAL_CD,HS_STATE
542220,Hatillo,colegio nuestra sra del carmen,00659,PR
011492,Huntsville,westminster christian academy,35814,AL
020182,Anchorage,grace christian school,99516-2802,AK
050712,Culver City,venture school,90230,CA
281719,Omaha,mercy high school,68106,NE
430887,Hendersonville,aaron academy,37075,TN
541040,Caguas,notre dame high school,00726,PR
030134,Glendale,joy christian school,85308,AZ
030236,Nogales,lourdes college preparatory hs,85621,AZ
054493,Santa Clarita,albert einstein academy of let,91355,CA
060396,Denver,denver academy,80222,CO
310457,Hackensack,bergen arts & sci charter sch,07601,NJ
030158,Gilbert,surrey garden christian school,85296,AZ
163779,Rock Rapids,alpha omega academy,51246,IA
543083,Manati,colegio marista,00674,PR
060535,Englewood,saint marys academy hs,80113,CO
060555,Denver,riseup community school,80204,CO
102231,Miami,miami arts charter school,33137,FL
240888,Fridley,totino-grace high school,55432,MN
440222,Grand Prairie,international leadership texas,75052,TX
051298,Irvine,crean lutheran high school,92620,CA
141349,Chicago,greater lawndale hs soc jus,60623,IL
310986,Newark,newark collegiate academy,07102,NJ
333380,New Rochelle,thornton donovan school,10804,NY
446215,San Antonio,john paul steven high school,78251,TX
051652,Los Angeles,lausd/usc math sci tech sch,90007,CA
053681,Walnut,south lands chrtn high school,91789,CA
054053,Los Angeles,miguel contreras lrng complex,90017,CA
060518,Greeley,greeley-evans alternative prog,80631,CO
335352,Staten Island,monsignor farrell high school,10306,NY
446119,San Antonio,business careers high school,78238,TX
541351,Cayey,radians high school,00737,PR
788186,Washington,tashkent intl school,20521,DC
030700,Phoenix,tesseract school,85028-3400,AZ
053840,Chula Vista,calvary christian jr & sr hs,91913,CA
140884,Chicago,instituto health sci career ac,60608,IL
393426,Philadelphia,performing arts sch of phila,19118,PA
DH0010,Ontario,valiant academy of southern ca,91764-5104,CA
051784,Los Angeles,summit view west school,90066,CA
054600,San Diego,coleman tech charter school hs,92123,CA
060098,Longmont,desiderata school inc,80503,CO
060673,Golden,mscd lab school lookout mtn,80401,CO
070765,Suffield,suffield academy,06078,CT
361833,Dayton,miami valley school,45429,OH
